time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
11.0,37.28166853125,435.98749999999984,3.9142368870088715,3.5217485258747177,4.226695433000753,1.0,1,0.0,0%
11.25,37.158846725000004,447.0699999999998,3.937956857845943,3.5396335061640403,4.29538089619923,1.0,1,0.0,0%
11.5,37.03602491875,458.1524999999998,3.960371860387317,3.5563050204016498,4.365087482743563,1.0,1,0.0,0%
11.75,36.9132031125,469.2349999999998,3.9816919793967767,3.571954970833956,4.435799179741055,1.0,1,0.0,0%
12.0,36.790381306250005,480.31749999999977,4.0020783752660245,3.5867306752457906,4.507503156239549,1.0,1,0.0,0%
12.25,36.806107125000004,491.39999999999975,4.021654936061572,3.6053902743098836,4.58018900374309,1.0,1,0.0,0%
12.5,36.820437197656254,502.52437499999974,4.0532915680097235,3.6348758527199854,4.653035319549636,1.0,1,0.0,0%
12.75,36.83336626367188,513.6906249999997,4.094028871272696,3.67254271380867,4.72625806972534,1.0,1,0.0,0%
13.0,36.84488906250001,524.8987499999997,4.141610437487906,3.7163736920266635,4.800018147281545,1.0,1,0.0,0%
13.25,36.7183265625,536.1487499999997,4.194313976331994,3.7648285459529034,4.874434577737262,1.0,1,0.0,0%
13.5,36.591764062500005,547.3987499999997,4.237849829920271,3.8050811350200413,4.949594528053603,1.0,1,0.0,0%
13.75,36.465201562500006,558.6487499999997,4.274302472666003,3.8389960216618015,5.025329049661143,1.0,1,0.0,0%
14.0,36.33863906250001,569.8987499999997,4.305261789368349,3.8679957231002575,5.101507678586878,1.0,1,0.0,0%
14.25,36.21207656250001,581.1487499999997,4.331940690668054,3.893165728260202,5.178029240183794,1.0,1,0.0,0%
14.5,36.08551406250001,592.3987499999997,4.355264755857914,3.9153345631958554,5.254814858605168,1.0,1,0.0,0%
14.75,35.958951562500005,603.6487499999997,4.375940555859599,3.9351348334019227,5.331802642321028,1.0,1,0.0,0%
15.0,35.832389062500006,614.8987499999997,4.394507726921352,3.953049762824946,5.408943643751122,1.0,1,0.0,0%
15.25,35.7058265625,626.1487499999997,4.411378659646747,3.9694486755014995,5.486198787467993,1.0,1,0.0,0%
15.5,35.5792640625,637.3987499999997,4.4268687488334555,3.984614047011715,5.563536534693411,1.0,1,0.0,0%
15.75,35.4527015625,648.6487499999997,4.441219449069419,3.9987621287272312,5.640931107512216,1.0,1,0.0,0%
16.0,35.326139062500005,659.8987499999997,4.454615847111584,4.012058671932742,5.718361138572099,1.0,1,0.0,0%
16.25,35.33059720859376,671.1487499999997,4.467200055134436,4.027083129702487,5.795808644228397,1.0,1,0.0,0%
16.5,35.33363856640626,682.4406249999997,4.493098520120385,4.054141890373334,5.872829106178988,1.0,1,0.0,0%
16.75,35.33525787539063,693.7743749999997,4.529008025387922,4.090284716346603,5.949646516384721,1.0,1,0.0,0%
17.0,35.33544987500001,705.1499999999997,4.572409272326368,4.13325908237969,6.026423095466952,1.0,1,0.0,0%
17.25,35.20509056875,716.5674999999998,4.621378987528061,4.181343411455481,6.103274378707621,1.0,1,0.0,0%
